  ID: 193, Cap: 20, Desirability: 0.311208122335, Enrollment: 20,
  ID: 194, Cap: 23, Desirability: 0.428197176593, Enrollment: 23,
  ID: 195, Cap: 25, Desirability: 0.0225542674306, Enrollment: 25,
  ID: 196, Cap: 16, Desirability: 0.0101310138716, Enrollment: 16,
  ID: 197, Cap: 117, Desirability: 0.420997140571, Enrollment: 85,
  ID: 198, Cap: 26, Desirability: 0.0739851181835, Enrollment: 26,
  ID: 199, Cap: 132, Desirability: 0.242304468097, Enrollment: 70,
  ID: 200, Cap: 24, Desirability: 0.234299124157, Enrollment: 24,
  ID: 201, Cap: 116, Desirability: 0.36469628137, Enrollment: 74,
  ID: 202, Cap: 19, Desirability: 0.492912477704, Enrollment: 19,
  ID: 203, Cap: 16, Desirability: 0.117226961619, Enrollment: 16,
  ID: 204, Cap: 150, Desirability: 0.119650574723, Enrollment: 74,
  ID: 205, Cap: 21, Desirability: 0.168963846906, Enrollment: 21,
  ID: 206, Cap: 16, Desirability: 0.536750606714, Enrollment: 16,
  ID: 207, Cap: 64, Desirability: 0.261936395078, Enrollment: 64,
  ID: 208, Cap: 18, Desirability: 0.159641533631, Enrollment: 18,
  ID: 209, Cap: 24, Desirability: 0.415592168676, Enrollment: 24,
  ID: 210, Cap: 22, Desirability: 0.4583168992, Enrollment: 22,
  ID: 211, Cap: 62, Desirability: 0.0943971331385, Enrollment: 62,
  ID: 212, Cap: 28, Desirability: 0.884057673781, Enrollment: 28,
  ID: 213, Cap: 23, Desirability: 0.462568142421, Enrollment: 23,
  ID: 214, Cap: 170, Desirability: 0.268114585168, Enrollment: 66,
  ID: 215, Cap: 102, Desirability: 0.552640241259, Enrollment: 65,
  ID: 216, Cap: 12, Desirability: 0.152018387952, Enrollment: 12,
  ID: 217, Cap: 13, Desirability: 0.177943668442, Enrollment: 13,
  ID: 218, Cap: 153, Desirability: 0.227865366032, Enrollment: 54,
  ID: 219, Cap: 27, Desirability: 0.302421980769, Enrollment: 27,
  ID: 220, Cap: 78, Desirability: 0.95194505955, Enrollment: 62,
  ID: 221, Cap: 21, Desirability: 0.595695480168, Enrollment: 21,
  ID: 222, Cap: 93, Desirability: 0.198613188791, Enrollment: 63,
  ID: 223, Cap: 129, Desirability: 0.984970051874, Enrollment: 60,
  ID: 224, Cap: 26, Desirability: 0.850581650991, Enrollment: 26,
  ID: 225, Cap: 26, Desirability: 0.145859303239, Enrollment: 26,
  ID: 226, Cap: 16, Desirability: 0.670186471788, Enrollment: 16,
  ID: 227, Cap: 27, Desirability: 0.838733772016, Enrollment: 27,
  ID: 228, Cap: 106, Desirability: 0.758581880421, Enrollment: 73,
  ID: 229, Cap: 13, Desirability: 0.791578989634, Enrollment: 13,
  ID: 230, Cap: 101, Desirability: 0.958330211388, Enrollment: 62,
  ID: 231, Cap: 100, Desirability: 0.422259665127, Enrollment: 55,
  ID: 232, Cap: 25, Desirability: 0.138561788971, Enrollment: 25,
  ID: 233, Cap: 17, Desirability: 0.833429131022, Enrollment: 17,
  ID: 234, Cap: 139, Desirability: 0.586186293197, Enrollment: 62,
  ID: 235, Cap: 17, Desirability: 0.382288352672, Enrollment: 17,
  ID: 236, Cap: 23, Desirability: 0.522520008394, Enrollment: 23,
  ID: 237, Cap: 26, Desirability: 0.394616401625, Enrollment: 26,
  ID: 238, Cap: 26, Desirability: 0.0808409928171, Enrollment: 26,
  ID: 239, Cap: 91, Desirability: 0.726180949694, Enrollment: 62,
  ID: 240, Cap: 22, Desirability: 0.48368709232, Enrollment: 22,
  ID: 241, Cap: 20, Desirability: 0.0209090719399, Enrollment: 20,
  ID: 242, Cap: 94, Desirability: 0.818275937225, Enrollment: 72,
  ID: 243, Cap: 15, Desirability: 0.71680039532, Enrollment: 15,
  ID: 244, Cap: 19, Desirability: 0.347042952029, Enrollment: 19,
  ID: 245, Cap: 109, Desirability: 0.718989334971, Enrollment: 63,
  ID: 246, Cap: 20, Desirability: 0.485262577729, Enrollment: 20,
  ID: 247, Cap: 18, Desirability: 0.42767093468, Enrollment: 18,
  ID: 248, Cap: 76, Desirability: 0.690722616742, Enrollment: 54,
  ID: 249, Cap: 31, Desirability: 0.385381584266, Enrollment: 31,
  ID: 250, Cap: 31, Desirability: 0.479375368159, Enrollment: 31,
  ID: 251, Cap: 16, Desirability: 0.914145267346, Enrollment: 16,
  ID: 252, Cap: 16, Desirability: 0.986555445652, Enrollment: 16,
  ID: 253, Cap: 15, Desirability: 0.727202731161, Enrollment: 15,
  ID: 254, Cap: 16, Desirability: 0.435741802134, Enrollment: 16,
  ID: 255, Cap: 16, Desirability: 0.274458240925, Enrollment: 16,
  ID: 256, Cap: 18, Desirability: 0.59616103917, Enrollment: 18,
  ID: 257, Cap: 112, Desirability: 0.128900828675, Enrollment: 70,
  ID: 258, Cap: 13, Desirability: 0.362099835515, Enrollment: 13,
  ID: 259, Cap: 2, Desirability: 0.0871424061384, Enrollment: 2,
  ID: 260, Cap: 17, Desirability: 0.917940664977, Enrollment: 17,
  ID: 261, Cap: 17, Desirability: 0.998455484663, Enrollment: 17,
  ID: 262, Cap: 15, Desirability: 0.0330986346664, Enrollment: 15,
  ID: 263, Cap: 15, Desirability: 0.569339041524, Enrollment: 15,
  ID: 264, Cap: 104, Desirability: 0.244471854791, Enrollment: 74,
  ID: 265, Cap: 136, Desirability: 0.918799060624, Enrollment: 68,
  ID: 266, Cap: 17, Desirability: 0.189443005245, Enrollment: 17,
  ID: 267, Cap: 18, Desirability: 0.808762373081, Enrollment: 18,
  ID: 268, Cap: 21, Desirability: 0.361230655138, Enrollment: 21,
  ID: 269, Cap: 17, Desirability: 0.722659409336, Enrollment: 17,
  ID: 270, Cap: 18, Desirability: 0.0495353771545, Enrollment: 18,
  ID: 271, Cap: 132, Desirability: 0.754376440715, Enrollment: 62,
  ID: 272, Cap: 20, Desirability: 0.620946297063, Enrollment: 20,
  ID: 273, Cap: 34, Desirability: 0.700583785758, Enrollment: 34,
  ID: 274, Cap: 76, Desirability: 0.35224745002, Enrollment: 64,
  ID: 275, Cap: 24, Desirability: 0.819401372627, Enrollment: 24,
  ID: 276, Cap: 21, Desirability: 0.464345606106, Enrollment: 21,
  ID: 277, Cap: 20, Desirability: 0.0380357448229, Enrollment: 20,
  ID: 278, Cap: 105, Desirability: 0.932715141365, Enrollment: 75,
  ID: 279, Cap: 26, Desirability: 0.140521475713, Enrollment: 26,
  ID: 280, Cap: 26, Desirability: 0.100970704279, Enrollment: 26,
  ID: 281, Cap: 13, Desirability: 0.144160487346, Enrollment: 13,
  ID: 282, Cap: 9, Desirability: 0.554761603256, Enrollment: 9,
  ID: 283, Cap: 23, Desirability: 0.6006589059, Enrollment: 23,
  ID: 284, Cap: 47, Desirability: 0.931495312901, Enrollment: 47,
  ID: 285, Cap: 16, Desirability: 0.873560718352, Enrollment: 16,
  ID: 286, Cap: 57, Desirability: 0.381511590754, Enrollment: 57,
  ID: 287, Cap: 22, Desirability: 0.824349288648, Enrollment: 22,
  ID: 288, Cap: 17, Desirability: 0.743535684506, Enrollment: 17,
  ID: 289, Cap: 131, Desirability: 0.558197629402, Enrollment: 58,
  ID: 290, Cap: 21, Desirability: 0.89959594592, Enrollment: 21,
  ID: 291, Cap: 23, Desirability: 0.952078695365, Enrollment: 23,
  ID: 292, Cap: 24, Desirability: 0.152068127932, Enrollment: 24,
